row_id,row_hash,shard_month,collected_date_jst,collected_at_jst,normalized_at_jst,source,source_phase,collector_stage,canonical_property_name,source_property_name,property_identity_match,source_property_id,source_slug_or_code,checkin,checkout,stay_nights,group_adults,no_rooms,group_children,currency,language,stay_scope,availability_status,sold_out_status,normalized_total_price,normalized_total_price_source,normalized_total_price_basis,normalized_total_price_confidence,basis_confidence,basis_note,source_primary_price,source_secondary_price_or_adder,source_computed_total,source_tax_or_fee_classification,source_classification,is_price_usable_for_dp_direct,is_price_usable_for_dp_directional,is_price_excluded_from_dp,dp_exclusion_reason,warning_flags,source_report_path,source_csv_path,debug_artifact_path,schema_version
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-06-01|2026-06-02|2_adults_1_room_1_night,386bb310a7a0691c8c546c35205f25fbdcc381e9371514e709065d81efbfdc53,2026_06,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-06-01,2026-06-02,1,2,1,0,JPY,ja,2_adults_1_room_1_night,sold_out,sold_out,,,no_price_sold_out,none,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,,,,per_person_tax_included_unconfirmed_total,rakuten_day_full,false,true,false,,sold_out_pressure_signal,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260601,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-06-02|2026-06-03|2_adults_1_room_1_night,8380e1467c7bcfeec21119c01c225a34c339057bb679c20a875b4fe773bf64f3,2026_06,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-06-02,2026-06-03,1,2,1,0,JPY,ja,2_adults_1_room_1_night,sold_out,sold_out,,,no_price_sold_out,none,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,,,,per_person_tax_included_unconfirmed_total,rakuten_day_full,false,true,false,,sold_out_pressure_signal,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260601,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-06-03|2026-06-04|2_adults_1_room_1_night,6e930c0a3f87781b7e1ed5811858f1c91a3c1e0c55457703f52d7eaf0132e1b9,2026_06,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-06-03,2026-06-04,1,2,1,0,JPY,ja,2_adults_1_room_1_night,available,available,64790,rakuten_dayList_price_times_2,per_person_tax_included_unconfirmed_total_times_2,B,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,32395,,64790,per_person_tax_included_unconfirmed_total,rakuten_day_available_price_link,false,true,false,,,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260601,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-06-04|2026-06-05|2_adults_1_room_1_night,cb7c6a80d0737cee04e1d8dcd10fa73d4936ba570b1c3ba6c70c471a6ee3a2f8,2026_06,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-06-04,2026-06-05,1,2,1,0,JPY,ja,2_adults_1_room_1_night,available,available,64790,rakuten_dayList_price_times_2,per_person_tax_included_unconfirmed_total_times_2,B,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,32395,,64790,per_person_tax_included_unconfirmed_total,rakuten_day_available_price_link,false,true,false,,,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260601,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-06-05|2026-06-06|2_adults_1_room_1_night,86c6bbc9de0e3a52e3ad89b783a2d5062d6d18d2f3828d52b3d4f48149eeadca,2026_06,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-06-05,2026-06-06,1,2,1,0,JPY,ja,2_adults_1_room_1_night,available,available,64790,rakuten_dayList_price_times_2,per_person_tax_included_unconfirmed_total_times_2,B,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,32395,,64790,per_person_tax_included_unconfirmed_total,rakuten_day_available_price_link,false,true,false,,,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260601,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-06-06|2026-06-07|2_adults_1_room_1_night,52ea9a2c5f3c0e24c236b724c4ffb54d594019af95add22efb745d0f73c320b5,2026_06,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-06-06,2026-06-07,1,2,1,0,JPY,ja,2_adults_1_room_1_night,sold_out,sold_out,,,no_price_sold_out,none,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,,,,per_person_tax_included_unconfirmed_total,rakuten_day_full,false,true,false,,sold_out_pressure_signal,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260601,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-06-07|2026-06-08|2_adults_1_room_1_night,e0c3f4c32b648110cb797aaf2d18b17406ae50006baaff23142fb83c7b0c2831,2026_06,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-06-07,2026-06-08,1,2,1,0,JPY,ja,2_adults_1_room_1_night,available,available,64790,rakuten_dayList_price_times_2,per_person_tax_included_unconfirmed_total_times_2,B,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,32395,,64790,per_person_tax_included_unconfirmed_total,rakuten_day_available_price_link,false,true,false,,,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260601,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-06-08|2026-06-09|2_adults_1_room_1_night,8a84f9f9c6dc97c07e65a1daeb5b40d416060112c090f2915c317efb05e8db7f,2026_06,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-06-08,2026-06-09,1,2,1,0,JPY,ja,2_adults_1_room_1_night,sold_out,sold_out,,,no_price_sold_out,none,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,,,,per_person_tax_included_unconfirmed_total,rakuten_day_full,false,true,false,,sold_out_pressure_signal,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260601,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-06-09|2026-06-10|2_adults_1_room_1_night,97bb501c0c5a94eb380209e6c02e8c381ce3b9f64ac6eccedc194f0e3dda860b,2026_06,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-06-09,2026-06-10,1,2,1,0,JPY,ja,2_adults_1_room_1_night,sold_out,sold_out,,,no_price_sold_out,none,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,,,,per_person_tax_included_unconfirmed_total,rakuten_day_full,false,true,false,,sold_out_pressure_signal,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260601,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-06-10|2026-06-11|2_adults_1_room_1_night,f3d4e5ee3c7d19c4c48e322c3269f1b34cf4f9614241d035ae70fc0de300f83e,2026_06,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-06-10,2026-06-11,1,2,1,0,JPY,ja,2_adults_1_room_1_night,sold_out,sold_out,,,no_price_sold_out,none,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,,,,per_person_tax_included_unconfirmed_total,rakuten_day_full,false,true,false,,sold_out_pressure_signal,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260601,zao_local_history_v1
