row_id,row_hash,shard_month,collected_date_jst,collected_at_jst,normalized_at_jst,source,source_phase,collector_stage,canonical_property_name,source_property_name,property_identity_match,source_property_id,source_slug_or_code,checkin,checkout,stay_nights,group_adults,no_rooms,group_children,currency,language,stay_scope,availability_status,sold_out_status,normalized_total_price,normalized_total_price_source,normalized_total_price_basis,normalized_total_price_confidence,basis_confidence,basis_note,source_primary_price,source_secondary_price_or_adder,source_computed_total,source_tax_or_fee_classification,source_classification,is_price_usable_for_dp_direct,is_price_usable_for_dp_directional,is_price_excluded_from_dp,dp_exclusion_reason,warning_flags,source_report_path,source_csv_path,debug_artifact_path,schema_version
2026-06-01|booking|蔵王国際ホテル|zao-kokusai|2026-08-12|2026-08-13|2_adults_1_room_1_night,6e5e4e87962a3c1f0b5951bc37cd685cf3477ab868152577006445eedfbd6ee8,2026_08,2026-06-01,2026-06-01T22:53:53+09:00,2026-06-01T22:53:53+09:00,booking,B04X,local_normalization_only,蔵王国際ホテル,航空券＋ホテル,true,zao-kokusai,zao-kokusai,2026-08-12,2026-08-13,1,2,1,0,JPY,ja,2_adults_1_room_1_night,available,available,60360,booking_official_base_plus_visible_tax_fee_adder,room_total_official_visible_tax_fee_2_adults_1_room_1_night,B,B,Computed total = Booking.com official visible base price + official visible tax/fee adder; no synthetic 1.1 multiplier applied.,60060,300,60360,booking_room_total_official_base_plus_tax_fee_adder,booking_b04a_official_base_plus_adder_numeric,false,true,false,,,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/booking_market_signal_normalization_20260601_225353.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/booking_market_signal_normalization_20260601_225353.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/booking-official-tax-fee-total-hardening/20260601_224331/zao-kokusai_2026-08-12,zao_local_history_v1
2026-06-01|booking|蔵王四季のホテル|zao-shiki-no|2026-08-12|2026-08-13|2_adults_1_room_1_night,2613658d9d942e34550463bccbc6b7329c91a04c3a1b4070aa11dd090c11c453,2026_08,2026-06-01,2026-06-01T22:53:53+09:00,2026-06-01T22:53:53+09:00,booking,B04X,local_normalization_only,蔵王四季のホテル,航空券＋ホテル,true,zao-shiki-no,zao-shiki-no,2026-08-12,2026-08-13,1,2,1,0,JPY,ja,2_adults_1_room_1_night,available,available,63660,booking_official_base_plus_visible_tax_fee_adder,room_total_official_visible_tax_fee_2_adults_1_room_1_night,B,B,Computed total = Booking.com official visible base price + official visible tax/fee adder; no synthetic 1.1 multiplier applied.,63360,300,63660,booking_room_total_official_base_plus_tax_fee_adder,booking_b04a_official_base_plus_adder_numeric,false,true,false,,,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/booking_market_signal_normalization_20260601_225353.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/booking_market_signal_normalization_20260601_225353.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/booking-official-tax-fee-total-hardening/20260601_224331/zao-shiki-no_2026-08-12,zao_local_history_v1
2026-06-01|booking|深山荘 高見屋|shinzanso-takamiya|2026-08-12|2026-08-13|2_adults_1_room_1_night,e68f92c2b825fdda69ad831af01fd581e35beaa2c94ec1e67673cd18b15cb461,2026_08,2026-06-01,2026-06-01T22:53:53+09:00,2026-06-01T22:53:53+09:00,booking,B04X,local_normalization_only,深山荘 高見屋,航空券＋ホテル,true,shinzanso-takamiya,shinzanso-takamiya,2026-08-12,2026-08-13,1,2,1,0,JPY,ja,2_adults_1_room_1_night,available,available,83069,booking_official_base_plus_visible_tax_fee_adder,room_total_official_visible_tax_fee_2_adults_1_room_1_night,B,B,Computed total = Booking.com official visible base price + official visible tax/fee adder; no synthetic 1.1 multiplier applied.,68651,14418,83069,booking_room_total_official_base_plus_tax_fee_adder,booking_b04a_official_base_plus_adder_numeric,false,true,false,,,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/booking_market_signal_normalization_20260601_225353.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/booking_market_signal_normalization_20260601_225353.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/booking-official-tax-fee-total-hardening/20260601_224331/shinzanso-takamiya_2026-08-12,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-08-01|2026-08-02|2_adults_1_room_1_night,e2cf427bdcb625004a5b181613d488cfceadd20d25d18570f2edb09d35bef936,2026_08,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-08-01,2026-08-02,1,2,1,0,JPY,ja,2_adults_1_room_1_night,sold_out,sold_out,,,no_price_sold_out,none,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,,,,per_person_tax_included_unconfirmed_total,rakuten_day_full,false,true,false,,sold_out_pressure_signal,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260701,zao_local_history_v1
2026-06-01|rakuten|名湯リゾート ルーセント|39565|2026-08-01|2026-08-02|2_adults_1_room_1_night,f0548c464323268ca9142f7f965a36a4a92761e7537dc5bbc5d947c2abc6519d,2026_08,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,名湯リゾート ルーセント,名湯リゾート ルーセント,true,39565,39565,2026-08-01,2026-08-02,1,2,1,0,JPY,ja,2_adults_1_room_1_night,available,available,42900,rakuten_dayList_price_times_2,per_person_tax_included_unconfirmed_total_times_2,B,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,21450,,42900,per_person_tax_included_unconfirmed_total,rakuten_day_available_price_link,false,true,false,,,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/39565_honkan-exk_20260701,zao_local_history_v1
2026-06-01|jalan|market_aggregate|market_aggregate|2026-08-08|2026-08-09|2_adults_1_room_1_night,1678d1c11f13e0214a04f64aa33218786715a16afb0bff8a6ccf89c9a4a1ccbb,2026_08,2026-06-01,2026-06-01T23:07:31+09:00,2026-06-01T23:07:31+09:00,jalan,DP_SAFE,dp_safe_local_signal,market_aggregate,market_aggregate,true,,,2026-08-08,2026-08-09,1,2,1,0,JPY,ja,2_adults_1_room_1_night,available,unknown,25000,jalan_dp_safe_median,dp_safe_median_quality_adjusted_market_aggregate,B,B,confidence_b_directional_only,25000,25000,25000,,use_directionally,false,true,false,,premium_high_market_outlier_present_review_before_mid_tier_dp,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/market-update/dp_safe_market_signal_report_20260601_014725.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/market-update/dp_safe_market_signals_20260601_014725.csv,,zao_local_history_v1
2026-06-01|jalan|market_aggregate|market_aggregate|2026-08-09|2026-08-10|2_adults_1_room_1_night,0eb4c4da1a83558f758c545de0d0943662995839d130386b14b9db682926e8ca,2026_08,2026-06-01,2026-06-01T23:07:31+09:00,2026-06-01T23:07:31+09:00,jalan,DP_SAFE,dp_safe_local_signal,market_aggregate,market_aggregate,true,,,2026-08-09,2026-08-10,1,2,1,0,JPY,ja,2_adults_1_room_1_night,available,unknown,44150,jalan_dp_safe_median,dp_safe_median_quality_adjusted_market_aggregate,A,A,confidence_a_clean_dp_safe_median,44150,44150,44150,,use_directly,true,true,false,,,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/market-update/dp_safe_market_signal_report_20260601_014725.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/market-update/dp_safe_market_signals_20260601_014725.csv,,zao_local_history_v1
2026-06-01|jalan|market_aggregate|market_aggregate|2026-08-10|2026-08-11|2_adults_1_room_1_night,b16b91671b53314f27d05224b4ef0d457dcac2e14209db60a9c766081e0d1eaf,2026_08,2026-06-01,2026-06-01T23:07:31+09:00,2026-06-01T23:07:31+09:00,jalan,DP_SAFE,dp_safe_local_signal,market_aggregate,market_aggregate,true,,,2026-08-10,2026-08-11,1,2,1,0,JPY,ja,2_adults_1_room_1_night,available,unknown,37950,jalan_dp_safe_median,dp_safe_median_quality_adjusted_market_aggregate,A,A,confidence_a_clean_dp_safe_median,37950,37950,37950,,use_directly,true,true,false,,premium_high_market_outlier_present_review_before_mid_tier_dp,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/market-update/dp_safe_market_signal_report_20260601_014725.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/market-update/dp_safe_market_signals_20260601_014725.csv,,zao_local_history_v1
2026-06-01|jalan|market_aggregate|market_aggregate|2026-08-11|2026-08-12|2_adults_1_room_1_night,855111eb506eb2149c90db48bbf3a8b3e3a951992f999ed771c1de1d600aab0e,2026_08,2026-06-01,2026-06-01T23:07:31+09:00,2026-06-01T23:07:31+09:00,jalan,DP_SAFE,dp_safe_local_signal,market_aggregate,market_aggregate,true,,,2026-08-11,2026-08-12,1,2,1,0,JPY,ja,2_adults_1_room_1_night,available,unknown,45100,jalan_dp_safe_median,dp_safe_median_quality_adjusted_market_aggregate,A,A,confidence_a_clean_dp_safe_median,45100,45100,45100,,use_directly,true,true,false,,,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/market-update/dp_safe_market_signal_report_20260601_014725.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/market-update/dp_safe_market_signals_20260601_014725.csv,,zao_local_history_v1
2026-06-01|jalan|market_aggregate|market_aggregate|2026-08-12|2026-08-13|2_adults_1_room_1_night,5755dcf1e0a5230d296c5ec1f5693548c37b1ef51249ba2e416569667f481071,2026_08,2026-06-01,2026-06-01T23:07:31+09:00,2026-06-01T23:07:31+09:00,jalan,DP_SAFE,dp_safe_local_signal,market_aggregate,market_aggregate,true,,,2026-08-12,2026-08-13,1,2,1,0,JPY,ja,2_adults_1_room_1_night,available,unknown,45100,jalan_dp_safe_median,dp_safe_median_quality_adjusted_market_aggregate,A,A,confidence_a_clean_dp_safe_median,45100,45100,45100,,use_directly,true,true,false,,,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/market-update/dp_safe_market_signal_report_20260601_014725.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/market-update/dp_safe_market_signals_20260601_014725.csv,,zao_local_history_v1
