date,checkin,property_key,property_name,source,own_price_min,own_price_median,own_price_max,room_basis,meal_basis,price_confidence,coverage_status,latest_collected_at_jst
2026-06-11,2026-06-13,kiraku,ホテル喜らく,jalan,22770,24000,25300,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-11T09:00:05+09:00
2026-06-15,2026-06-16,miuraya,三浦屋,booking,16005,16005,16005,probable_two_person_standard_room,assumed_room_only,medium,critical,2026-06-15T22:00:05+09:00
2026-06-16,2026-06-17,miuraya,三浦屋,booking,14404,14404,14404,probable_two_person_standard_room,assumed_room_only,medium,critical,2026-06-16T22:00:06+09:00
2026-06-17,2026-06-18,miuraya,三浦屋,booking,14404,14404,14404,probable_two_person_standard_room,assumed_room_only,medium,critical,2026-06-17T02:00:06+09:00
2026-06-17,2026-06-19,miuraya,三浦屋,booking,16995,16995,16995,probable_two_person_standard_room,assumed_room_only,medium,critical,2026-06-17T06:00:06+09:00
2026-06-15,2026-06-19,miuraya,三浦屋,jalan,18128,18128,18128,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-15T12:00:05+09:00
2026-06-13,2026-06-20,kiraku,ホテル喜らく,jalan,22770,24000,25300,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-13T09:00:05+09:00
2026-06-19,2026-06-20,miuraya,三浦屋,booking,18480,18480,19219,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-19T02:00:06+09:00
2026-06-15,2026-06-20,miuraya,三浦屋,jalan,19712,19712,19712,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-15T14:00:05+09:00
2026-06-20,2026-06-21,miuraya,三浦屋,booking,14850,14850,16500,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-20T04:00:06+09:00
2026-06-15,2026-06-21,miuraya,三浦屋,jalan,15840,15840,15840,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-15T14:00:05+09:00
2026-06-21,2026-06-22,miuraya,三浦屋,booking,14404,14404,14404,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-21T04:00:05+09:00
2026-06-21,2026-06-23,miuraya,三浦屋,booking,16005,16005,16005,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-21T04:00:05+09:00
2026-06-14,2026-06-23,miuraya,三浦屋,jalan,17072,17072,17072,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-14T08:00:06+09:00
2026-06-21,2026-06-24,miuraya,三浦屋,booking,14404,14404,14404,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-21T06:00:06+09:00
2026-06-15,2026-06-24,miuraya,三浦屋,jalan,15365,15365,15365,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-15T16:00:05+09:00
2026-06-21,2026-06-25,miuraya,三浦屋,booking,14404,14404,14404,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-21T10:00:06+09:00
2026-06-21,2026-06-26,miuraya,三浦屋,booking,15295,15295,15295,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-21T08:00:06+09:00
2026-06-15,2026-06-26,miuraya,三浦屋,jalan,16316,16316,16316,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-15T16:00:05+09:00
2026-06-13,2026-06-27,kiraku,ホテル喜らく,jalan,22770,22770,22770,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-13T09:00:05+09:00
2026-06-21,2026-06-27,miuraya,三浦屋,booking,16632,16632,16632,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-21T10:00:06+09:00
2026-06-15,2026-06-27,miuraya,三浦屋,jalan,17741,17741,17741,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-15T12:00:05+09:00
2026-06-21,2026-06-28,miuraya,三浦屋,booking,14850,14850,14850,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-21T12:00:05+09:00
2026-06-15,2026-06-28,miuraya,三浦屋,jalan,15840,15840,15840,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-15T18:00:05+09:00
2026-06-21,2026-06-29,miuraya,三浦屋,booking,16005,16005,16005,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-21T08:00:06+09:00
2026-06-21,2026-06-30,miuraya,三浦屋,booking,16005,16005,16005,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-21T12:00:05+09:00
2026-06-21,2026-07-01,miuraya,三浦屋,booking,14553,14553,14553,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-21T14:00:06+09:00
2026-06-21,2026-07-02,miuraya,三浦屋,booking,14553,14553,14553,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-21T14:00:06+09:00
2026-06-21,2026-07-03,miuraya,三浦屋,booking,15592,15592,15592,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-21T16:00:00+09:00
2026-06-21,2026-07-04,miuraya,三浦屋,booking,17078,17078,17078,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-21T16:00:00+09:00
2026-06-15,2026-07-04,miuraya,三浦屋,jalan,18216,18216,18216,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-15T00:00:02+09:00
2026-06-21,2026-07-05,miuraya,三浦屋,booking,16500,16500,16500,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-21T18:00:06+09:00
2026-06-21,2026-07-06,miuraya,三浦屋,booking,14553,14553,14553,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-21T20:00:05+09:00
2026-06-20,2026-07-07,miuraya,三浦屋,booking,16170,16170,16170,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-20T18:00:05+09:00
2026-06-21,2026-07-08,miuraya,三浦屋,booking,16170,16170,16170,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-21T18:00:06+09:00
2026-06-21,2026-07-09,miuraya,三浦屋,booking,16170,16170,16170,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-21T20:00:05+09:00
2026-06-21,2026-07-10,miuraya,三浦屋,booking,15592,15592,15592,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-21T22:00:06+09:00
2026-06-20,2026-07-11,miuraya,三浦屋,jalan,18216,18216,18216,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-20T20:00:06+09:00
2026-06-21,2026-07-11,miuraya,三浦屋,booking,17078,17078,17078,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-21T22:00:06+09:00
2026-06-20,2026-07-12,miuraya,三浦屋,booking,14850,14850,14850,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-20T22:00:06+09:00
2026-06-16,2026-07-13,miuraya,三浦屋,jalan,15524,15524,15524,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-16T16:00:06+09:00
2026-06-21,2026-07-13,miuraya,三浦屋,booking,14553,14553,14553,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-21T00:00:01+09:00
2026-06-16,2026-07-14,miuraya,三浦屋,jalan,15524,15524,15524,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-16T16:00:06+09:00
